Unit,Year,Employed FT N,Employed FT %,Employed PT N,Employed PT %,Continuing Edu N,Continuing Edu %,Volunteering N,Volunteering %,Military N,Military %,Business N,Business %,Unplaced N,Unplaced %,Unresolved N,Unresolved %,Total N,Not Seeking N,Placement Rate %
University-wide,2015,3223,62%,297,6%,1092,21%,81,2%,33,1%,47,1%,53,1%,377,7%,5203,39,92.0%
College of Agriculture and Natural Resources,2015,107,52%,9,4%,59,29%,3,1%,0,0%,2,1%,0,0%,26,13%,206,1,87.0%
College of Arts and Humanities,2015,510,60%,87,10%,182,21%,24,3%,5,1%,7,1%,3,<1%,37,4%,855,11,95.0%
College of Behavioral and Social Sciences,2015,682,53%,102,8%,315,25%,26,2%,13,1%,16,1%,26,2%,99,8%,1279,9,90.0%
"College of Computer, Mathematical, and Natural Sciences",2015,463,55%,29,3%,261,31%,15,2%,2,<1%,2,<1%,4,<1%,68,8%,844,7,91.0%
College of Education,2015,113,73%,6,4%,30,19%,4,3%,0,0%,0,0%,0,0%,2,1%,155,1,99.0%
College of Information,2015,,,,,,,,,,,,,,,,,,,
The A. James Clark School of Engineering,2015,633,77%,9,1%,131,16%,1,<1%,12,1%,10,1%,5,1%,26,3%,827,2,96.0%
Philip Merrill College of Journalism,2015,101,72%,16,11%,8,6%,1,1%,0,0%,1,1%,0,0%,13,9%,140,0,91.0%
"School of Architecture, Planning, and Preservation",2015,13,34%,2,5%,17,45%,1,3%,0,0%,1,3%,1,3%,3,8%,38,1,89.0%
School of Public Health,2015,232,50%,35,8%,119,26%,14,3%,1,<1%,1,<1%,14,3%,50,11%,466,2,86.0%
School of Public Policy,2015,,,,,,,,,,,,,,,,,,,
The Robert H. Smith School of Business,2015,600,80%,20,3%,60,8%,2,<1%,2,<1%,9,1%,1,<1%,60,8%,754,9,91.0%
College Park Scholars,2015,344,61%,36,6%,128,23%,12,2%,2,<1%,3,<1%,4,<1%,32,6%,561,2,93.0%
Honors College,2015,350,56%,23,4%,204,32%,16,3%,5,1%,8,1%,1,<1%,21,3%,628,4,96.0%
Letters and Sciences,2015,999,62%,107,7%,293,18%,28,2%,10,1%,17,1%,25,2%,138,8%,1617,16,90.0%
Undergraduate Studies,2015,,,,,,,,,,,,,,,,,,,
University-wide,2016,3409,62%,259,5%,1200,22%,99,2%,37,1%,49,1%,49,1%,384,7%,5486,50,92.0%
College of Agriculture and Natural Resources,2016,115,48%,12,5%,70,29%,9,4%,0,0%,4,2%,0,0%,28,12%,238,2,88.0%
College of Arts and Humanities,2016,479,62%,58,7%,158,20%,28,4%,2,0%,9,1%,1,0%,39,5%,774,16,95.0%
College of Behavioral and Social Sciences,2016,737,56%,87,7%,313,24%,40,3%,20,2%,3,0%,42,3%,77,6%,1319,7,91.0%
"College of Computer, Mathematical, and Natural Sciences",2016,453,53%,33,4%,275,32%,9,1%,2,0%,5,1%,1,0%,71,8%,849,2,92.0%
College of Education,2016,132,84%,3,2%,17,11%,3,2%,0,0%,0,0%,0,0%,3,2%,158,3,98.0%
College of Information,2016,,,,,,,,,,,,,,,,,,,
The A. James Clark School of Engineering,2016,720,77%,6,1%,146,16%,2,0%,9,1%,14,1%,0,0%,39,4%,936,7,96.0%
Philip Merrill College of Journalism,2016,104,68%,16,10%,14,9%,3,2%,1,1%,1,1%,1,1%,13,8%,153,1,91.0%
"School of Architecture, Planning, and Preservation",2016,18,55%,2,6%,11,33%,1,3%,0,0%,0,0%,0,0%,1,3%,33,0,97.0%
School of Public Health,2016,172,37%,40,8%,191,41%,10,2%,1,0%,4,1%,0,0%,53,11%,471,7,89.0%
School of Public Policy,2016,,,,,,,,,,,,,,,,,,,
The Robert H. Smith School of Business,2016,704,79%,12,1%,74,8%,5,1%,2,0%,12,1%,8,1%,69,8%,886,7,91.0%
College Park Scholars,2016,354,61%,34,6%,124,21%,14,2%,3,1%,6,1%,1,0%,47,8%,583,5,92.0%
Honors College,2016,463,59%,22,3%,241,31%,29,4%,3,0%,4,1%,1,0%,26,3%,789,8,97.0%
Letters and Sciences,2016,1152,64%,85,5%,352,20%,23,1%,8,0%,11,1%,25,1%,140,8%,1796,13,91.0%
Undergraduate Studies,2016,,,,,,,,,,,,,,,,,,,
University-wide,2017,3522,62%,265,5%,1241,22%,98,2%,46,1%,45,1%,34,1%,414,7%,5665,43,92.0%
College of Agriculture and Natural Resources,2017,114,51%,22,10%,70,31%,5,2%,0,0%,3,1%,1,0%,10,4%,225,2,96.0%
College of Arts and Humanities,2017,439,60%,68,9%,148,20%,22,3%,4,1%,9,1%,3,0%,34,5%,727,9,95.0%
College of Behavioral and Social Sciences,2017,751,54%,71,5%,369,27%,42,3%,21,2%,12,1%,6,0%,108,8%,1380,7,92.0%
"College of Computer, Mathematical, and Natural Sciences",2017,491,55%,44,5%,277,31%,10,1%,7,1%,5,1%,8,1%,57,6%,899,9,93.0%
College of Education,2017,120,79%,4,3%,15,10%,4,3%,0,0%,1,1%,1,1%,7,5%,152,1,94.0%
College of Information,2017,,,,,,,,,,,,,,,,,,,
